Year,Round,College,Branch,Category,CutoffRank
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,1G,10362
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,2AG,11146
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,2AR,11476
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,2BG,12715
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,3AG,8838
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,3BG,9285
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,GM,7157
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,GMK,8135
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,GMR,10325
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,SCG,27948
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,SCK,36559
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,SCR,37378
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,STG,35989
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Artificial,STR,49505
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Architecture,GM,489
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,1G,8646
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,1R,13146
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,2AG,7279
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,2AK,8846
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,2AR,8245
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,2BG,10578
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,2BR,11860
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,3AG,6017
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,3AR,6547
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,3BG,6600
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,3BK,11154
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,3BR,7064
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,GM,4914
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,GMK,7918
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,GMR,6323
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,SCG,22940
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,SCK,26105
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,SCR,36141
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,STG,37113
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Computers,STR,43373
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,1G,14612
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,1R,17032
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,2AG,14028
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,2AK,21937
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,2AR,20567
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,2BG,16034
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,2BR,40511
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,3AG,13656
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,3AK,19963
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,3BG,12051
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,3BR,13931
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,GM,9976
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,GMK,15038
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,GMR,13037
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,SCG,44436
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,SCK,49110
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,SCR,53475
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,STG,34812
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Electronics,STR,37639
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,1G,12586
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,2AG,8508
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,2AR,10046
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,2BG,11837
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,2BK,30724
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,3AG,8314
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,3AR,9527
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,3BG,9246
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,GM,6958
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,GMK,9396
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,GMR,8691
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,SCG,35459
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,SCR,44824
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,STG,36505
2024,Extended,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),Info.Science,STR,37241
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,1G,31182
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,1R,32544
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,2AG,35645
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,2AR,41947
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,2BG,30184
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,2BR,39782
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,3AG,27273
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,3AR,35533
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,3BG,28228
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,3BK,33427
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,GM,24048
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,GMK,32706
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,GMR,31083
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,SCG,53473
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,SCR,60322
2024,Extended,S K S J T Institute of Engineering. Bangalore,Computers,STG,65492
2024,Extended,S K S J T Institute of Engineering. Bangalore,Silk Tech.,GM,268341
2024,Extended,S K S J T Institute of Engineering. Bangalore,Textiles,GM,272873
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,1G,8704
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,1R,11264
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,2AG,6391
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,2AR,6916
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,2BG,6731
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,3AG,6414
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,3BG,3692
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,3BK,11984
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,GM,2955
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,GMK,7725
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,GMR,6804
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,SCG,25896
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,SCR,35225
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,STG,32837
2024,Extended,"B M S College of Engineering Basavanagudi,Bangalore",Electronics,STR,54873
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,1G,15294
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,1K,20322
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,2AG,17559
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,2AR,27732
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,2BG,16306
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,3AG,17579
2024,Extended,Dr. Ambedkar Institute Of Technology Bangalore,Computers,3BG,14603
